Target,Source
Aeon Stone (Gold Nodule),万古石（金色节体）
Aeon Stone (Lavender and Green Ellipsoid),万古石（紫苏及绿色椭球体）
Aeon Stone (Mottled Ellipsoid),万古石(有斑点的椭球体)
Aeon Stone (Orange Prism),万古石（橙色球体）
Coyote Cloak (Greater),高等郊狼披风
Aeon Stone (Pale Lavender Ellipsoid),万古石（淡紫苏色椭球体）
Aeon Stone (Pale Orange Rhomboid),万古石（淡橙长菱体）
Aeon Stone (Pearlescent Pyramid),万古石（多彩锥形体）
Aeon Stone (Pearly White Spindle),万古石（珍珠白纺锤体）
Aeon Stone (Pink Rhomboid),万古石（粉色斜方体）
Aeon Stone (Rainbow Prism),万古石(虹彩棱镜)
Authorized,授权
Aeon Stone (Tourmaline Sphere),万古石（碧绿色球体）
Aeon Stone (Western Star),万古石（西方之星）
Research,研究
Aether Appendage,以太副肢
Aged Assassin Vine Wine,陈年杀人藤果酒
Crown of the Fire Eater,吞火者之冠
Aim-Aiding,助瞄
Air Cartridge Firing System,气动开火装置
Air Repeater,连发气枪
Aklys,飞钩杖
Alabaster,雪花石膏
Alabaster and obsidian game set,雪花石膏和黑曜石游戏套装
Alabaster idol,雪花石膏雕像
Alarm Snare,警报圈套
Alchemical Atomizer,炼金喷雾器
Alchemical Chart (Greater),高等炼金图表
Carved wooden game set,木雕游戏套装
Alchemical Chart (Lesser),次等炼金图表
Alchemical Chart (Moderate),中等炼金图表
Alchemical Crossbow,炼金弩
Alchemical Fuse,炼金引信
Alchemist's Tools,炼金工具
Crushing Coils,碎裂蟒纹铠
Alchemical Gauntlet,炼金铁手套
Alchemist Goggles,炼金护目镜
Alchemist Goggles (Greater),高等炼金护目镜
Alchemist Goggles (Major),上等炼金护目镜
Alchemist's Damper,炼金术士的制退器
Alchemist's Fire (Greater),高等炽火胶
Alchemist's Fire (Lesser),次等炽火胶
Alchemist's Fire (Major),上等炽火胶
Alchemist's Fire (Moderate),中等炽火胶
Alchemist's Flamethrower,炼金喷火器
Alcohol,酒精
Cassisian Helmet,天使圣盔
Alchemist's Haversack,炼金术士背袋
Alchemist's Lab,炼金实验室
Alchemist's Lab (Expanded),炼金实验室(专家)
Aldori Dueling Sword,奥多里决斗剑
Alghollthu Lash,阿尔古苏之鞭
Amber,琥珀
Batsbreath Cane,蝠息手杖
Alicorn Lance,天角枪
Aligned Oil,阵营油
Alignment Ampoule (Greater),高等阵营安瓿
Ambrosia of Undying Hope,逢生仙酿
Battle Medic's Baton,战地医师短杖
Alignment Ampoule (Lesser),次等阵营安瓿
Alignment Ampoule (Major),上等阵营安瓿
Bayonet,刺刀
Alignment Ampoule (Moderate),中等阵营安瓿
Alkenstar Ice Wine,阿肯斯塔冰酒
Alluring Scarf,迷人披巾
Alluring Scarf (Greater),高等迷人披巾
Alluring Scarf (Major),上等迷人披巾
Aluum Charm,阿鲁姆挂坠
Beckoning Cat Amulet,招福猫护符
Amaranthine Pavise,永茂大盾
Amazing Pop-up Book,惊奇立体书
Amethyst,紫水晶
Amnemonic Charm,健忘挂坠
Amphora with lavish scenes,绘有奢华场景的双耳罐
Amulet of the Third Eye,第三只眼护符
Anarchic,混沌
Anathema Fulu,咒逐符箓
Ancestral Echoing,先祖回响
Ancestral Embrace,先祖之拥
Ancestral Geometry,先祖几何图
Dawnflower Beads,晨花念珠
Anchor of Aquatic Exploration,水域勘探之锚
Anchor Spear,锚定矛
Anchoring,锚定
Crown of the Fire Eater (Greater),高等吞火者之冠
Seek,搜索
Anchoring (Greater),高等锚定
Ancient dragon skull etched with mystic sigils,刻有神秘符号的古龙头骨
Animal Repellent (Greater),高等动物驱逐剂
Animal Repellent (Lesser),次等动物驱逐剂
Crying Angel Pendant,泪天使垂饰
Animal Repellent (Major),上等动物驱逐剂
Animal Repellent (Minor),下等动物驱逐剂
Animal Repellent (Moderate),中等动物驱逐剂
Animal Staff,动物法杖
Animal Staff (Greater),高等动物法杖
Animal Staff (Major),上等动物法杖
Animate Dreamer,活梦师
Anklets of Alacrity,敏捷脚镯
Ankylostar,甲龙尾槌
Anointed Waterskin,圣水袋
Anointing Oil,膏油
Anointing Oil (Greater),高等膏油
Antipode Oil,极反油
Crown of the Fire Eater (Major),上等吞火者之冠
Anticorrosion Oil,防锈油
Antidote (Greater),高等解毒剂
Antidote (Lesser),次等解毒剂
Antidote (Major),上等解毒剂
Arachnid Harness,蜘蛛背带
Crushing,粉碎
Antidote (Moderate),中等解毒剂
Antimagic,抗魔
Antimagic Oil,反魔油
Antiplague (Greater),高等抗生素
Antiplague (Lesser),次等抗生素
Antiplague (Major),上等抗生素
Antiplague (Moderate),中等抗生素
Antivenom Potion,抗毒药水
Antler Arrow,鹿角箭
Apotropaic Fulu,辟邪符箓
Apparition Gloves,幻影手套
Applereed Mutagen (Greater),高等长腿突变药剂
Applereed Mutagen (Lesser),次等长腿突变药剂
Applereed Mutagen (Moderate),中等长腿突变药剂
Apricot of Bestial Might,兽性杏子
Cryolite Eye,冰晶之眼
Aquamarine,海蓝宝石
Aquarium Lamp,水族箱灯
Arachnid Harness (Greater),高等蜘蛛背带
Arboreal Staff,树栖法杖
Shove,推撞
Arboreal's Revenge,树精的复仇
Arcane Scroll Case of Simplicity,奥术简便卷轴匣
Architect's Pattern Book,建筑师的模板册
Arctic Vigor,极地活力
Arctic Vigor (Greater),高等极地活力
Armbands of Athleticism,运动臂带
Armbands of Athleticism (Greater),高等运动臂带
Armbands of the Gorgon,戈尔贡臂带
Armor Latches,盔甲锁扣
Armor of the Holy Warrior,圣战士盔甲
Armor Potency (+1),+1护甲潜力 (+1)
Armor Potency (+2),+2护甲潜力 (+2)
Armor Potency (+3),+3护甲潜力 (+3)
Armored Cloak,护盾手枪
Armored Coat,衬甲外套
Boastful Hunter,吹嘘猎手
Armored Skirt,内衬裙甲
Armory Bracelet (Greater),高等武库手镯
Armory Bracelet (Lesser),次等武库手镯
Armory Bracelet (Major),上等武库手镯
Armory Bracelet (Minor),下等武库手镯
Armory Bracelet (Moderate),中等武库手镯
Aroden's Hearthstone,奥罗登炉石
Aromatic Ammunition,芳香弹药
Arquebus,重型火绳枪
Arrow-Catching Shield,吸矢盾
Atlatl,掷镖器
Bola,绳球
Artificer Spectacles,铸工目镜
Artisan's Tools,工匠工具
Artisan's Tools (Sterling),工匠工具(专家)
Bolts,矢
Asp Coil,盘蛇剑
Assassin Vine Wine,杀人藤果酒
Assisting,辅助
Astringent Venom,敛血毒
Astrolabe of the Falling Stars,陨星星盘
Auric Noodles,黄金面
Cryomister (Greater),高等制冷器
Aurifying Salts,镀金盐
Auspicious Scepter,吉兆权杖
Autumn's Embrace,秋之怀抱
Avalanche Boots,雪崩长靴
Coral idol of an elemental lord,元素领主的珊瑚神像
Strike,打击
Avalanche of Stones Snare,大岩崩圈套
Awakened Adamantine Shot,觉醒精金弹
Awakened Cold Iron Shot,觉醒寒铁弹
Awakened Silver Shot,觉醒银质弹
Axe Musket,滑膛枪斧
Axe of the Dwarven Lords,矮人群王之斧
Axiomatic,公理
Azure Lily Pollen,蔚蓝百合花粉
Bastion Plate,堡垒甲
Azure Worm Repellent,蓝虫驱离药剂
Azurite,蓝铜矿
Backfire Mantle,逆火披风
Backfire Mantle (Greater),高等逆火披风
Backpack,背包
Backpack Ballista,背包弩炮
Backpack Ballista Bolt,背包弩炮矢
Backpack Catapult,背包投石器
Backpack Catapult Stone,背包投石器石
Bag of Cats,猫猫袋
Bag of Holding (Type II),型次元袋
Bag of Devouring Type I,型吞食袋
Bag of Devouring Type II,型吞食袋
Bag of Devouring Type III,型吞食袋
Bag of Holding (Type I),型次元袋
Bag of Holding (Type III),型次元袋
Bag of Holding (Type IV),型次元袋
Bag of Weasels,鼬鼠袋
Bane,破敌
Cryomister (Lesser),次等制冰器
Bagpipes of Turmoil,动乱风笛
Bagpipes of Turmoil (Greater),高等动乱风笛
Study,学习
Bagpipes of Turmoil (Major),上等动乱风笛
Baleblood Draft,灾血散酿
Balisse Feather,圣火之羽
Crystal Ball (Moonstone),水晶球（月长石）
Bane Ammunition (Greater),高等痛苦弹药
Bane Ammunition (Lesser),次等痛苦弹药
Bane Ammunition (Moderate),中等痛苦弹药
Bane Oil,破敌油
Banner of the Restful,安宁旗帜
Banquet of Hungry Ghosts,恶鬼全席
Barbed Vest,尖刺背心
Barding of the Zephyr,西风马铠
Basic Companion Chair,基本款伙伴辅助轮
Barding Saddle,铠甲鞍具
Bargainer's Instrument,交易者的乐器
Basic Prosthesis,基础假体
Barkskin Potion,树肤药水
Barricade Buster,破障炮
Barricade Stone (Cube),壁垒石-立方体
Barricade Stone (Cylinder),壁垒石-圆柱体
Barricade Stone (Sphere),壁垒石-球体
Basic Cane,基础拐杖
Basic Chair,基础椅
Basic Corrective Lenses,基础矫正镜片
Basic Crafter's Book,基本匠人书籍
Basic Crutch,基本字杖
Basic Face Mask,基本款口罩
Basic Hearing Aid,基础助听器
Basilisk Eye,蛇怪之眼
Bastard Sword,变种剑
Bastion of the Inheritor,后继者堡垒
Subsist,求生
Battering Snare,猛击圈套
Battle Axe,战斧
Battle Saddle,战斗鞍
Beacon Shot,信标箭矢
Beast Staff,魔兽法杖
Beast Staff (Greater),高等魔兽法杖
Crimson Brand,绯红大剑
Beast Staff (Major),上等魔兽法杖
Beastmaster's Sigil,兽王印记
Beastmaster's Sigil (Greater),高等兽王印记
Beastmaster's Sigil (Major),上等兽王印记
Bec de Corbin,鸦喙
Swim,游泳
Bedroll,铺盖卷
Beguiling Crown,魅惑王冠
Belladonna,颠茄
Bracers of Armor III,型盔甲护腕
Crystal Ball (Obsidian),水晶球（黑曜石）
Bellflower Toolbelt,铃花会工具腰带
Bellicose Dagger,好战匕首
Belt of Giant Strength,巨人力量腰带
Belt of Regeneration,再生腰带
Bewildering Spellgun,迷乱咒枪
Belt of the Five Kings,五王腰带
Berserker's Cloak,狂战士披风
Berserker's Cloak (Greater),高等狂战士披风
Bestial Mutagen (Greater),高等野性突变药剂
Blightburn Bomb,炽辐炸弹
Bestial Mutagen (Lesser),次等野性突变药剂
Bestial Mutagen (Major),上等野性突变药剂
Blightburn Ward,炽辐庇护
Bestial Mutagen (Moderate),中等野性突变药剂
Bestiary of Metamorphosis,《变形图鉴》
Charisma 16,魅力16
Bewitching Bloom (Amaranth),迷魂花 (苋菜花)
Bewitching Bloom (Bellflower),迷魂花 (风铃草)
Bewitching Bloom (Cherry Blossom),迷魂花 (樱花)
Bewitching Bloom (Lilac),迷魂花 (丁香花)
Bewitching Bloom (Lotus),迷魂花 (莲花)
Darkwood Branch,暗木枝
Bewitching Bloom (Magnolia),迷魂花 (木兰花)
Bewitching Bloom (Purple Iris),迷魂花 (紫鸢花)
Crystal Ball (Peridot),水晶球（橄榄石）
Bewitching Bloom (Red Rose),迷魂花 (红玫瑰)
Bewitching Bloom (White Poppy),迷魂花 (白罂粟)
Bi-Resonant Wayfinder,双重共振寻路仪
Crystal Ball (Selenite),水晶球（月光石）
Darkwood Buckler (High-Grade),高纯度暗木小圆盾 (-)
Big Boom Gun,大爆枪
Big Rock Bullet,巨岩弹丸
Big Rock Bullet (Greater),高等巨岩弹丸
Big Rock Bullet (Major),上等巨岩弹丸
Binding Coil,捆缚线圈
"Crystal dinner set, fine silverware",水晶餐具，精美的银器
Binding Coil (Greater),高等捆缚线圈
Binding Snare,束缚圈套
Bioluminescence Bomb,生物荧光炸弹
Biting Snare,刺骨圈套
Black Adder Venom,黑蝰毒
Black Dragon's Breath Potion (Adult),成年黑龙龙息药水
Black Dragon's Breath Potion (Wyrm),古黑龙龙息药水
Black Dragon's Breath Potion (Young),青年黑龙龙息药水
Black Hole Armor,黑洞甲
Black Lotus Extract,黑莲汁
Black Powder (Dose or Round),黑火药(一剂药粉或一枚枪弹)
Black Powder (Horn),黑火药(一角)
Black Powder (Keg),黑火药(一桶)
Black Powder Knuckle Dusters,黑火药指虎
Black Smear Poison,黑涂毒
Black Tendril Shot (Greater),高等黑触手弹药
Bracers of Devotion,虔诚护腕
Black Tendril Shot (Lesser),次等黑触手弹药
Black Tendril Shot (Moderate),中等黑触手弹药
Blackaxe,黑斧
Blackfinger Blight,黑手指枯萎毒
Blade Byrnie,刃铠
Blade Byrnie (Greater),高等刃铠
Blade Byrnie (Major),上等刃铠
Blaze,烈火
Blade Launcher,刀刃发射器
Blade of Four Energies,四能量之刃
Blade of Four Energies (Greater),高等四能量之刃
Blade of the Rabbit Prince,兔王子之刃
Bladed Diabolo,带刃扯铃
Bladed Gauntlet,带刃铁手套
Bladed Hoop,带刃套环
Bladed Scarf,刃巾
Blast Boots (Greater),高等火箭靴
Blast Boots (Lesser),次等火箭靴
Mask Familiar,面具魔宠
Blast Boots (Major),上等火箭靴
Blast Boots (Moderate),中等火箭靴
Blast Foot,爆破脚
Blast Foot (Greater),高等爆破脚
Blast Lance,爆裂长枪
Blast Lance (Greater),高等爆裂长枪
Blast Suit,防爆服
Blazons of Shared Power,共享力量纹章
Blazons of Shared Power (Greater),高等共享力量纹章
Bleachguard Doll,反漂白娃娃
Bleeding Spines Snare,血棘圈套
Blending Brooch,融景胸针
Blessed Ampoule,神圣安瓿
Blight Bomb (Greater),高等枯萎炸弹
Blight Bomb (Lesser),次等枯萎炸弹
Blight Bomb (Major),上等枯萎炸弹
Blight Bomb (Moderate),中等枯萎炸弹
Blightburn Bomb (Greater),高等炽辐炸弹
Blightburn Resin,燃疫松香
Blindpepper Bolt,盲椒弩矢
Blindpepper Bomb,胡椒炸弹
Bravery Baldric (Fleet),飞跑勇气挎带
Blindpepper Tube,辣椒喷雾
Blister Ammunition (Greater),高等水疱弹药
Shadow Magic,阴影魔法
Blister Ammunition (Lesser),次等水疱弹药
Blister Ammunition (Moderate),中等水疱弹药
Crystal Shards (Greater),高等水晶破片
Blisterwort,水泡疫液
Blood Booster (Greater),高等壮血剂
Blowgun,吹箭
Blood Booster (Lesser),次等壮血剂
Blood Booster (Moderate),中等壮血剂
Blood Sap,血汤
Bloodbane,血煞
Bloodbane (Greater),高等血煞
Bloodeye Coffee,血眼咖啡
Bloodhound Mask (Greater),高等猎犬面罩
Communication Bangle,通讯手镯
Basic Trickery,基础诡计
Bloodhound Mask (Lesser),次等猎犬面罩
Bloodhound Mask (Moderate),中等猎犬面罩
Boarding Pike,登船矛
Compass,罗盘
Dawnlight,曙光
Bloodhound Olfactory Stimulators,猎犬级嗅觉刺激器
Bloodletting Kukri,放血反曲刀
Bloodline Robe,血统长袍
Bloodseeker Beak,觅血者之针
Bloodstone,血石
Bloodthirsty,嗜血
Blowgun Darts,吹箭镖
Blue Dragon's Breath Potion (Adult),成年蓝龙龙息药水
Blue Dragon's Breath Potion (Wyrm),古蓝龙龙息药水
Blue Dragon's Breath Potion (Young),青年蓝龙龙息药水
Crystal Shards (Major),上等水晶破片
Dawnlight (Greater),高等曙光
Blue Dragonfly Poison,蓝蜻蜓毒
Blunderbuss,喇叭枪
Bo Staff,长棒
Boarding Axe,登船斧
Body Recovery Kit,遗体回收工具包
Bola Shot,绳球弹
Crystal Shards (Moderate),中等水晶破片
Bomb Coagulant Alembic,炸弹浓缩蒸馏器
Bomb Launcher,炸弹发射器
Bomb Snare,炸弹圈套
Crystallized dragon heart,结晶化的龙心
Bomber's Eye Elixir (Greater),高等爆破者之眼灵药
Bomber's Eye Elixir (Lesser),次等爆破者之眼灵药
Bomber's Saddle,投弹者坐鞍
Bone Dreadnought Plate,骨制无畏甲
Bonmuan Swapping Stone (Greater),高等邦木易石
Breastplate,胸甲
Bonmuan Swapping Stone (Lesser),次等邦木易石
Bonmuan Swapping Stone (Major),上等邦木易石
Cube of Force,力量魔方
Bonmuan Swapping Stone (Moderate),中等邦木易石
Book of Lingering Blaze,《余火之书》
Book of Lost Days,失日之书
Cube of Nex,奈克斯魔方
Book of Warding Prayers,祈福经书
Bookthief Brew,书贼酿
Boomerang,回力镖
Boots of Bounding,弹跳靴
Boots of Bounding (Greater),高等弹跳靴
Boots of Dancing,舞蹈鞋
Cube of Recall,召回方块
Darkwood Buckler (Standard-Grade),标准纯度暗木小圆盾 (-)
Boots of Elvenkind,精灵靴
Boots of Elvenkind (Greater),高等精灵靴
Boots of Speed,加速靴
Bootstrap Respirator,导引呼吸器
Curare,箭毒
Boozy Bottle,酩酊酒瓶
Boreal Staff (Greater),高等北寒法杖
Boreal Staff (Major),上等北寒法杖
Bort's Blessing,波尔特的祝福
Bottled Air,瓶装空气
Crackling Bubble Gum (Greater),高等爆炸泡泡糖
Dawnlight (Major),上等曙光
Bottled Lightning (Greater),高等瓶装闪电
Bottled Lightning (Lesser),次等瓶装闪电
Bottled Lightning (Major),上等瓶装闪电
Bottled Lightning (Moderate),中等瓶装闪电
Bottled Omen,瓶装预兆
Bottled Roc,瓶装大鹏
Cursed Dreamstone,被诅咒的梦境石
Day Goggles,日间目镜
Bottled Screams,瓶装尖啸
Bottled Sunlight (Greater),高等瓶装阳光
Bottled Sunlight (Lesser),次等瓶装阳光
Curtain Call Cloak,谢幕斗篷
Bottled Sunlight (Major),上等瓶装阳光
Bottled Sunlight (Moderate),中等瓶装阳光
Bottomless Purse,无底钱袋
Bottomless Stein,无底酒杯
Boulder Seed,巨石种子
Cutlery,刀叉
Boulder Seed (Greater),高等巨石种子
Boulderhead Bock,抱石勃克啤酒
Bound Guardian,附身护卫
Bountiful Cauldron,慷慨坩埚
Bracers of Armor II,型盔甲护腕
Darkwood Lumber,暗木材
Bow Staff,弓杖
Bower Fruit,枝丛果
Bracelet of Dashing,冲刺手镯
Bracers of Armor I,型盔甲护腕
Bracers of Missile Deflection,飞弹偏斜护腕
Bracers of Missile Deflection (Greater),高等飞弹偏斜护腕
Brain Cylinder,脑缸
Bralani Breath,巴拉尼之息
Bralani Breath (Greater),高等巴拉尼之息
Brass anklet,黄铜脚镯
Brass Dragon's Breath Potion (Adult),成年黄铜龙龙息药水
Brass Dragon's Breath Potion (Wyrm),古黄铜龙龙息药水
Bravo's Brew (Moderate),中等狂徒醇酿
Darkwood Shield (High-Grade),高纯度暗木盾 (-)
Brass Dragon's Breath Potion (Young),青年黄铜龙龙息药水
Brass Ear,铜耳
Brass scepter with amethyst head,紫水晶头黄铜权杖
Brass statuette of a bull,黄铜公牛雕像
Bravery Baldric (Flight),飞行勇气挎带
Bravery Baldric (Haste),加速勇气挎带
"Bravery Baldric (Restoration, Greater)",高等复原勇气挎带
Bravery Baldric (Restoration),复原勇气挎带
Darkwood Shield (Standard-Grade),标准纯度暗木盾 (-)
tenets of evil,邪恶信条
Bravery Baldric (Stoneskin),石肤勇气挎带
Bravo's Brew (Greater),高等狂徒醇酿
Bravo's Brew (Lesser),次等狂徒醇酿
Breastplate of Command,号令胸甲
Breastplate of Command (Greater),高等号令胸甲
Breastplate of the Mountain,群山胸甲
Breath Blaster,龙息枪
Breath Blaster (Greater),高等龙息枪
Briar,荆棘
Breath Blaster (Major),上等龙息枪
Breathtaking Vapor,夺息蒸汽
Breech Ejectors,后膛弹出器
Brewer's Regret,酿造师的悔恨
Daikyu,大弓
Daylight Vapor,日光蒸汽
Brewer's Regret (Greater),高等酿造师的悔恨
Brightbloom Posy,活力花束
Brightbloom Posy (Greater),高等活力花束
Brightbloom Posy (Major),上等活力花束
Brightshade,亮影
Brilliant,光辉
Darkwood Tower Shield (High-Grade),高纯度暗木塔盾 (-)
Brilliant (Greater),高等光辉
Brilliant Rapier,光能锐剑
Brimstone Fumes,硫磺烟
Bring Me Near,身临其镜
Broadspear,宽刃矛
Broken Tusk Pendant,碎牙坠饰
Broken Tusk Pendant (Greater),高等碎牙坠饰
Bronze bowl with wave imagery,有波浪意象的青铜碗
Bronze brazier with Asmodean artwork,带有阿斯莫迪斯徽记的铜火炉
Bronze Bull Pendant,青铜牛垂饰
Bronze chalice with bloodstones,镶血石青铜圣杯
Bronze Dragon's Breath Potion (Adult),成年青铜龙龙息药水
Bronze Dragon's Breath Potion (Wyrm),古青铜龙龙息药水
Bronze Dragon's Breath Potion (Young),青年青铜龙龙息药水
Buckler,小圆盾
Dazing Coil,晕眩线圈
Brooch of Inspiration,灵感胸针
Brooch of Inspiration (Greater),高等灵感胸针
Brooch of Inspiration (Major),上等灵感胸针
Brooch of Shielding,护盾胸针
Broom of Flying,飞行扫帚
Bubbling Scale,泡泡鳞
Buckle Armor,搭扣甲
Bullhook,牛角钩
Bullhook (Greater),高等牛角钩
Called,召来
Shining Oath,光辉誓约
Buoyancy Vest,浮力背心
Burnished Plating,抛光甲片
Burr Shield,毛刺盾
Busine of Divine Reinforcements,神圣援军小号
Butchering Axe,屠戮斧
Camp Shroud (Minor),下等营地帷幕
Candle,蜡烛
Butterfly Sword,蝴蝶刀
Buugeng,武幻弯刀
Buzzsaw Axe,圆锯斧
Buzzsaw Axe (Greater),高等圆锯斧
Dancer's Spear,舞枪
Darkwood Tower Shield (Standard-Grade),标准纯度暗木塔盾 (-)
Buzzsaw Axe (Major),上等圆锯斧
Calamity Glass,灾祸镜
Dancing,舞空
Called (Lastwall),召回(终焉之墙)
Caltrop Snare,铁蒺藜圈套
Caltrops,铁蒺藜
Camouflage Dye (Greater),高等迷彩染料
Dancing Lamentation,舞至深恸
Camouflage Dye (Lesser),次等迷彩染料
Camouflage Suit,伪装服
Camouflage Suit (Superb),卓越伪装服
Esoteric Oath,秘教誓约
Camp Shroud (Greater),高等营地帷幕
Camp Shroud (Lesser),次等营地帷幕
Camp Shroud (Major),上等营地帷幕
Camp Shroud (Moderate),中等营地帷幕
Campaign Stable,活动马厩
Clothing (Ordinary),服装(普通)
Dancing Scarf,舞动围巾
Candle of Invocation,祈神蜡烛
Candle of Revealing,揭示蜡烛
Candle of Truth,真实蜡烛
Candlecap,蜡烛帽
Cane Pistol,手杖枪
Cantrip Deck (5-pack),戏法套牌（5卡包） (5-)
Cantrip Deck (Full Pack),戏法套牌（全卡包）
Cape of the Mountebank,骗徒披肩
Cape of the Open Sky,开天披肩
Capsaicin Tonic,辣椒补药
Captivating Bauble,迷人珠宝
Captivating Score,迷人乐谱
Careless Delight,无虑欢愉
Carnelian,红玉髓
Carrion Cask,腐肉桶
Cartographer's Kit,绘图师工具包
Cassock of Devotion,奉献教袍
Caster's Targe,术者圆盾
Cat's Eye Elixir,猫眼灵药
Catching,抓取
Caterwaul Sling,尖叫投石索
Dancing Scarf (Greater),高等舞动围巾
Caustic Deteriorating Dust,苛性恶化之尘
Dazzling Rosary,炫目念珠
Cauterizing Torch,烧灼火炬
Cayden's Brew,凯登纯酿
Cayden's Brew (Double),双倍凯登纯酿
Cayden's Brew (Triple),三倍凯登纯酿
Chakram,飞轮
Cayden's Tankard,凯登的酒杯
Celestial Armor,天界甲
Celestial Hair,仙发
Celestial Peach (Life),仙桃(返生)
Dandpatta,护手直刃
Celestial Peach (Rejuvenation),仙桃(疗愈)
Celestial Peachwood Sword,仙桃木剑
Chalk,粉笔
Celestial Staff,天族法杖
Ceramic Plate,陶瓷甲
Ceremonial dagger with onyx hilt,仪式用的玛瑙柄匕首
Ceremonial shortsword with spinels,仪式用尖晶石短剑
Cerulean Scourge,蔚蓝灾厄
Chain (10 feet),铁链（10尺） (10 )
Chain Mail,链甲
Chain of Stars,群星之链
Chain of the Stilled Spirit,锢魂锁链
Chest,箱子
Clothing (Winter),服装(冬季)
Darkwood violin by a legend,传奇的暗木小提琴
Knockback,击退
Chain Shirt,链甲衫
Chain Sword,链剑
Chair of Inventions,发明家轮椅
Chime of Opening,开锁管钟
Chakri,回旋飞轮
Chakri (Lost Omens),回旋飞轮-预言破灭之年
Chameleon Suit,变色龙服
Strength 14,力量14
Chameleon Suit (Greater),高等变色龙服
Chameleon Suit (Major),上等变色龙服
Chandelier crafted from dreams,梦幻制作的吊灯
Channel Protection Amulet,导能防护项链
Chaos Collar,混沌颈环
Chatterer of Follies,讽世饶舌杖
Cheetah's Elixir (Greater),高等猎豹灵药
Cheetah's Elixir (Lesser),次等猎豹灵药
Cheetah's Elixir (Moderate),中等猎豹灵药
Dart,飞镖
Chimera Thread,奇美拉缝合线
Choker of Elocution,雄辩颈圈
Choker of Elocution (Greater),高等雄辩颈圈
Choker-Arm Mutagen (Greater),高等锁喉怪之臂突变药剂
Chromatic Jellyfish Oil (Lesser),次等繁彩水母精油
Choker-Arm Mutagen (Lesser),次等锁喉怪之臂突变药剂
Choker-Arm Mutagen (Major),上等锁喉怪之臂突变药剂
Choker-Arm Mutagen (Moderate),中等锁喉怪之臂突变药剂
Choleric Contagion,爆裂传染
Chopping Evisceration Snare,斩杀陷阱
Chromatic Jellyfish Oil (Greater),高等繁彩水母精油
Chromatic Jellyfish Oil (Moderate),中等繁彩水母精油
Chronicler Wayfinder,编史者寻路仪
Chronomancer Staff,御时法杖
Chrysoberyl,金绿玉
Chrysoberyl symbol of an evil eye,金绿宝石象征着邪恶的眼睛
Chrysoprase,绿玉髓
Cinderclaw Gauntlet,灰烬之爪拳套
Cinnamon Seers,预兆肉桂
Circlet of Persuasion,说服头环
Citrine,黄水晶
Clan Dagger,氏族匕首
Clan Pistol,氏族手枪
Clandestine Cloak,隐秘斗篷
Clandestine Cloak (Greater),高等隐秘斗篷
Clarity Goggles (Greater),高等清晰护镜
Dazzling Rosary (Greater),高等炫目念珠
Clarity Goggles (Lesser),次等清晰护镜
Clarity Goggles (Moderate),中等清晰护镜
Deathdrinking,亡饮
Class Kit (Alchemist),炼金术士装备包
Class Kit (Barbarian),野蛮人装备包
Class Kit (Bard),吟游诗人装备包
Class Kit (Champion),神卫装备包
Class Kit (Cleric),牧师装备包
Class Kit (Druid),德鲁伊装备包
Class Kit (Fighter),战士装备包
Class Kit (Investigator),调查员装备包
Class Kit (Monk),武僧装备包
Class Kit (Oracle),先知装备包
Class Kit (Ranger),游侠装备包
Clown Monarch,小丑皇
Daredevil Boots,鲁莽者之靴
Class Kit (Rogue),游荡者装备包
Class Kit (Sorcerer),术士装备包
Class Kit (Swashbuckler),浪客装备包
Club,棍棒
Class Kit (Witch),女巫装备包
Class Kit (Wizard),法师装备包
Claw Blade,爪刃
Climbing Bolt,攀爬矢
Climbing Kit,攀爬工具包
Climbing Kit (Extreme),攀爬工具包(专家)
Cloak of Devouring Thorns,吞噬荆棘斗篷
Cloak of Elvenkind,精灵斗篷
Cloak of Elvenkind (Greater),高等精灵斗篷
Cloak of Feline Rest,猫之休憩斗篷
Cloak of Gnawing Leaves,咬人树叶斗篷
Crowbar,撬棍
Cloak of Immolation,献祭披风
Cloak of Repute,名气斗篷
Cloak of Repute (Greater),高等名气斗篷
Cloak of Repute (Major),上等名气斗篷
Cloak of the Bat,蝙蝠披风
Coating,涂层
Cloak of the Bat (Greater),高等蝙蝠披风
Cloak of the False Foe,伪敌披风
Cloak of Thirsty Fronds,饥渴蕨叶斗篷
Constitution 14,体质14
Clockwork Bookshelf,发条书架
Clockwork Box Packer,发条打包机
Clockwork Chirper,发条啾啾
Clockwork Cloak,发条斗篷
Clothing (Explorer's),服装(探险者) (')
Clockwork Dial,发条式表盘
Clockwork Disguise,发条伪装
Cognitive Mutagen (Greater),高等认知突变药剂
Clockwork Diving Suit,发条潜水服
Clockwork Goggles,发条目镜
Clockwork Goggles (Greater),高等发条目镜
Clockwork Goggles (Major),上等发条目镜
Daredevil Boots (Greater),高等鲁莽者之靴
Clockwork Heels,发条高跟鞋
Clockwork Macuahuitl,发条锯棍
Clockwork Megaphone,发条扩音器
Clothing (Fine),服装(精致)
Clockwork Monkey,发条猴子
Clockwork Recorder,发条留声机
Clockwork Shield,发条盾
Clockwork Shield (Greater),高等发条盾
Clockwork Spider Bomb,发条蜘蛛炸弹
Cloister Robe (Greater),高等隐修长袍
Cloister Robe (Lesser),次等隐修长袍
Cloister Robe (Major),上等隐修长袍
